timestamp_utc,timestamp_local,team_member,plug_id,plug_alias,plug_model,appliance,session_id,mode,sample_interval_sec,power_w,voltage_v,current_a,energy_today_kwh,energy_this_month_kwh,energy_total_kwh,state,rssi,signal_level,notes
2026-06-08T07:27:50.132713+00:00,2026-06-08 12:57:50,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,2.155,236.173,0.044,0.0,1.924,,on,-62,,44 minute wash cycle run 2
2026-06-08T07:27:55.692166+00:00,2026-06-08 12:57:55,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,1.894,236.179,0.044,0.0,1.924,,on,-63,,44 minute wash cycle run 2
2026-06-08T07:28:01.354286+00:00,2026-06-08 12:58:01,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,1.846,236.145,0.044,0.0,1.924,,on,-63,,44 minute wash cycle run 2
2026-06-08T07:28:06.936684+00:00,2026-06-08 12:58:06,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,1.939,236.283,0.044,0.0,1.924,,on,-61,,44 minute wash cycle run 2
2026-06-08T07:28:12.612763+00:00,2026-06-08 12:58:12,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,1.812,236.356,0.044,0.0,1.924,,on,-62,,44 minute wash cycle run 2
2026-06-08T07:28:18.649925+00:00,2026-06-08 12:58:18,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,1.871,236.294,0.044,0.0,1.924,,on,-63,,44 minute wash cycle run 2
2026-06-08T07:28:24.241955+00:00,2026-06-08 12:58:24,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,1.845,236.532,0.044,0.0,1.924,,on,-63,,44 minute wash cycle run 2
2026-06-08T07:28:29.874180+00:00,2026-06-08 12:58:29,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,2.074,236.553,0.044,0.0,1.924,,on,-62,,44 minute wash cycle run 2
2026-06-08T07:28:35.608043+00:00,2026-06-08 12:58:35,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,2.147,236.549,0.045,0.0,1.924,,on,-61,,44 minute wash cycle run 2
2026-06-08T07:28:41.650444+00:00,2026-06-08 12:58:41,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,2.072,236.573,0.045,0.0,1.924,,on,-61,,44 minute wash cycle run 2
2026-06-08T07:28:47.526918+00:00,2026-06-08 12:58:47,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,2.479,236.467,0.05,0.0,1.924,,on,-60,,44 minute wash cycle run 2
2026-06-08T07:28:55.372027+00:00,2026-06-08 12:58:55,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,8.723,236.566,0.044,0.0,1.924,,on,-63,,44 minute wash cycle run 2
2026-06-08T07:29:00.926697+00:00,2026-06-08 12:59:00,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,5.516,236.251,0.043,0.0,1.924,,on,-62,,44 minute wash cycle run 2
2026-06-08T07:29:06.188105+00:00,2026-06-08 12:59:06,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,8.879,236.418,0.045,0.0,1.924,,on,-63,,44 minute wash cycle run 2
2026-06-08T07:29:12.512244+00:00,2026-06-08 12:59:12,Abel,plug_2,NW_P2_Abel,P110,washing_machine,147a8794,normal_wash,5.0,8.859,236.637,0.044,0.0,1.924,,on,-63,,44 minute wash cycle run 2
