timestamp_utc,timestamp_local,team_member,plug_id,plug_alias,plug_model,appliance,session_id,mode,sample_interval_sec,power_w,voltage_v,current_a,energy_today_kwh,energy_this_month_kwh,energy_total_kwh,state,rssi,signal_level,notes
2026-06-03T07:43:14.733538+00:00,2026-06-03 13:43:14,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.685,244.025,0.013,0.0,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:15.977994+00:00,2026-06-03 13:43:15,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.641,244.076,0.013,0.0,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:17.319005+00:00,2026-06-03 13:43:17,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.704,244.076,0.013,0.0,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:18.610377+00:00,2026-06-03 13:43:18,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.647,244.076,0.0,0.0,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:19.923680+00:00,2026-06-03 13:43:19,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.647,243.827,0.0,0.0,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:21.175067+00:00,2026-06-03 13:43:21,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.741,243.827,0.0,0.0,0.032,,on,-71,,20 minute NILM mixer session
2026-06-03T07:43:22.478296+00:00,2026-06-03 13:43:22,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.682,243.827,0.013,0.0,0.032,,on,-69,,20 minute NILM mixer session
2026-06-03T07:43:23.790994+00:00,2026-06-03 13:43:23,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.684,243.607,0.013,0.0,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:25.167372+00:00,2026-06-03 13:43:25,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.701,243.607,0.013,0.0,0.032,,on,-69,,20 minute NILM mixer session
2026-06-03T07:43:26.474778+00:00,2026-06-03 13:43:26,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,53.349,243.45,0.013,0.0,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:27.791497+00:00,2026-06-03 13:43:27,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,235.102,243.45,0.991,0.0,0.032,,on,-69,,20 minute NILM mixer session
2026-06-03T07:43:29.137706+00:00,2026-06-03 13:43:29,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,212.9,242.468,0.991,0.001,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:30.587321+00:00,2026-06-03 13:43:30,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,212.9,242.468,0.881,0.001,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:31.854209+00:00,2026-06-03 13:43:31,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,210.047,242.468,0.881,0.001,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:33.166283+00:00,2026-06-03 13:43:33,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,208.453,242.412,0.881,0.001,0.032,,on,-71,,20 minute NILM mixer session
2026-06-03T07:43:34.422704+00:00,2026-06-03 13:43:34,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,207.824,242.412,0.871,0.001,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:35.667706+00:00,2026-06-03 13:43:35,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,207.329,242.47,0.871,0.001,0.032,,on,-71,,20 minute NILM mixer session
2026-06-03T07:43:36.954620+00:00,2026-06-03 13:43:36,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,206.402,242.47,0.865,0.001,0.032,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:38.272265+00:00,2026-06-03 13:43:38,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,206.689,242.516,0.865,0.001,0.032,,on,-68,,20 minute NILM mixer session
2026-06-03T07:43:39.554466+00:00,2026-06-03 13:43:39,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,207.204,242.516,0.868,0.001,0.033,,on,-69,,20 minute NILM mixer session
2026-06-03T07:43:40.902908+00:00,2026-06-03 13:43:40,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,207.204,242.516,0.868,0.001,0.033,,on,-69,,20 minute NILM mixer session
2026-06-03T07:43:42.155925+00:00,2026-06-03 13:43:42,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,207.087,242.77,0.868,0.001,0.033,,on,-69,,20 minute NILM mixer session
2026-06-03T07:43:43.424247+00:00,2026-06-03 13:43:43,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,206.668,242.77,0.866,0.001,0.033,,on,-69,,20 minute NILM mixer session
2026-06-03T07:43:44.788500+00:00,2026-06-03 13:43:44,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,206.744,242.602,0.866,0.001,0.033,,on,-71,,20 minute NILM mixer session
2026-06-03T07:43:46.045772+00:00,2026-06-03 13:43:46,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,206.553,242.602,0.866,0.002,0.033,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:47.297167+00:00,2026-06-03 13:43:47,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,206.553,242.845,0.866,0.002,0.033,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:48.630698+00:00,2026-06-03 13:43:48,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,99.16,242.845,0.866,0.002,0.033,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:49.878014+00:00,2026-06-03 13:43:49,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,1.381,242.845,0.01,0.002,0.033,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:51.127624+00:00,2026-06-03 13:43:51,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.377,243.453,0.01,0.002,0.033,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:52.418028+00:00,2026-06-03 13:43:52,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.352,243.453,0.011,0.002,0.033,,on,-68,,20 minute NILM mixer session
2026-06-03T07:43:53.737480+00:00,2026-06-03 13:43:53,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.367,243.436,0.011,0.002,0.033,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:55.046481+00:00,2026-06-03 13:43:55,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.367,243.436,0.011,0.002,0.033,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:56.370108+00:00,2026-06-03 13:43:56,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.293,243.436,0.011,0.002,0.033,,on,-70,,20 minute NILM mixer session
2026-06-03T07:43:57.614278+00:00,2026-06-03 13:43:57,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.313,243.318,0.011,0.002,0.033,,on,-69,,20 minute NILM mixer session
2026-06-03T07:43:58.910788+00:00,2026-06-03 13:43:58,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,2.325,243.318,0.011,0.002,0.033,,on,-69,,20 minute NILM mixer session
2026-06-03T07:44:00.206401+00:00,2026-06-03 13:44:00,Anllia,plug_1,Tapo P110,P110,mixer,017895c5,multi_cycle,1.0,155.257,243.318,0.011,0.002,0.033,,on,-69,,20 minute NILM mixer session
