timestamp,power_w,interval_energy_kwh,appliance_label,device_alias,device_model,location,source,capture_id
2026-05-27 18:16:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:17:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:18:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:19:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:20:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:21:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:22:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:23:00,1168.0,0.01946667,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:24:00,1190.0,0.01983333,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:25:00,1205.0,0.02008333,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:26:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:27:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:28:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:29:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:30:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:31:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:32:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:33:00,1185.0,0.01975000,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:34:00,1178.0,0.01963333,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:35:00,1202.0,0.02003333,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:36:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:37:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:38:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:39:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:40:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:41:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:42:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:43:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:44:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
2026-05-27 18:45:00,0.5,0.00000833,iron,Iron Box,Tapo P110,Hallway,tapo_p110_screenshot_derived,tapo_p110_iron_box_2026-05-27_1846
